account_id,customer_id,account_number,account_type,currency,balance,account_status
138,93,PL518866732049484536662019,BUSSINESS_ACCOUNT,GBP,5676.78,INACTIVE
139,94,FR749201480303353745592307,CURRENT_ACCOUNT,EUR,32288.4,ACTIVE
140,94,FR873499414025487764001155,BUSSINESS_ACCOUNT,USD,47603.38,ACTIVE
141,95,PL254704430018932286462930,CURRENT_ACCOUNT,EUR,33463.7,ACTIVE
142,95,PL588362655111551979647693,SAVINGS_ACCOUNT,GBP,24548.95,ACTIVE
143,96,FR859621444075689089648971,SAVINGS_ACCOUNT,USD,2946.2,ACTIVE
144,96,FR909097623707306941618192,CURRENT_ACCOUNT,GBP,4590.96,ACTIVE
145,97,FR619771976621139045144519,SAVINGS_ACCOUNT,GBP,31850.45,INACTIVE
146,98,US846639206723003390505915,CURRENT_ACCOUNT,PLN,41694.6,ACTIVE
147,99,PL775502597454866459772397,BUSSINESS_ACCOUNT,PLN,11389.02,INACTIVE
148,99,PL189205907962764654514960,BUSSINESS_ACCOUNT,PLN,41078.29,INACTIVE
149,100,DE643500456089342469988040,BUSSINESS_ACCOUNT,EUR,20179.37,INACTIVE
